Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
3BHS2_MOUSE,    0.232560,  0.165389,  0.299730, 4,   7.000000,    0.033585, 3919145472.000000
3BHS3_MOUSE,    0.188574,  0.130520,  0.246627, 8,  17.000000,    0.029027, 10175258624.000000
3BHS5_MOUSE,    0.151440,  0.114009,  0.188871, 2,   2.000000,    0.018716, 63190532.000000
6PGD_MOUSE,    0.127542,  0.112363,  0.142722, 4,   9.000000,    0.007590, 1993540992.000000
A1AT2_MOUSE,    0.281004,  0.184762,  0.377246, 3,   3.000000,    0.048121, 111373784.000000
AAAD_MOUSE,    0.212462,  0.157345,  0.267579, 21,  26.000000,    0.027558, 94197276672.000000
AADAT_MOUSE,    0.080370,  0.069316,  0.091423, 20,  25.000000,    0.005527, 44280320000.000000
AATC_MOUSE,    0.096457,  0.080691,  0.112223, 4,   7.000000,    0.007883, 2551594240.000000
AATM_MOUSE,    0.094121,  0.085224,  0.103018, 7,  13.000000,    0.004448, 17912170496.000000
ABHD3_MOUSE,    0.000000,  0.000000,  4.047944, 1,   1.000000,    0.041485, 96347376.000000
ACADL_MOUSE,    0.088659,  0.079157,  0.098161, 28,  29.000000,    0.004751, 46179463168.000000
ACADM_MOUSE,    0.147788,  0.128800,  0.166776, 23,  27.000000,    0.009494, 126610726912.000000
ACADS_MOUSE,    0.051006,  0.035538,  0.066474, 4,   7.000000,    0.007734, 898117440.000000
ACD10_MOUSE,    0.122051,  0.109989,  0.134113, 15,  17.000000,    0.006031, 6741841408.000000
ACNT1_MOUSE,    0.239813,  0.165740,  0.313886, 3,   4.000000,    0.037036, 837322752.000000
ACOT1_MOUSE,    0.149975,  0.127930,  0.172020, 15,  20.000000,    0.011023, 26804490240.000000
ACOT2_MOUSE,    0.119440,  0.102328,  0.136551, 4,   4.000000,    0.008556, 465130048.000000
ACOT3_MOUSE,    0.601468,  0.437333,  0.765602, 2,   5.000000,    0.082067, 619322112.000000
ACOX1_MOUSE,    0.393723,  0.216070,  0.571376, 17,  23.000000,    0.088826, 30399588352.000000
ACSM1_MOUSE,    0.037797,  0.031368,  0.044225, 1,   1.000000,    0.002020, 9473250.000000
ACTA_MOUSE,    0.110511,  0.080275,  0.140748, 12,  25.000000,    0.015118, 316307603456.000000
ACTBL_MOUSE,    0.083782,  0.066286,  0.101277, 7,  16.000000,    0.008748, 101545697280.000000
ACTB_MOUSE,    0.134152,  0.122712,  0.145592, 23,  35.000000,    0.005720, 638924750848.000000
ACTC_MOUSE,    0.088214,  0.000000,  0.805658, 1,   8.000000,    0.035425, 27339302912.000000
ACTY_MOUSE,    0.195402,  0.151698,  0.239106, 7,   8.000000,    0.021852, 2507928576.000000
ACTZ_MOUSE,    0.130227,  0.099972,  0.160482, 3,  10.000000,    0.015128, 6730951680.000000
ACY1_MOUSE,    0.140094,  0.119871,  0.160318, 13,  16.000000,    0.010112, 5814561792.000000
ADA_MOUSE,    0.092749,  0.086340,  0.099157, 4,   6.000000,    0.003204, 1177128832.000000
ADH1_MOUSE,    0.119726,  0.101162,  0.138290, 10,  12.000000,    0.009282, 18823149568.000000
ADHX_MOUSE,    0.134859,  0.120090,  0.149629, 4,   6.000000,    0.007385, 900339392.000000
ADK_MOUSE,    0.159869,  0.135257,  0.184481, 25,  31.000000,    0.012306, 282092896256.000000
ADRO_MOUSE,    0.052989,  0.042089,  0.063889, 3,   3.000000,    0.005450, 398440480.000000
ADT2_MOUSE,    0.104543,  0.093467,  0.115619, 4,   4.000000,    0.005538, 874171200.000000
AGK_MOUSE,    0.113543,  0.098847,  0.128238, 2,   4.000000,    0.007348, 566297152.000000
AGT2_MOUSE,    0.093466,  0.078966,  0.107965, 8,  12.000000,    0.007250, 2457014016.000000
AHSA1_MOUSE,    0.208852,  0.151216,  0.266488, 5,   8.000000,    0.028818, 4670841344.000000
AK1A1_MOUSE,    0.129692,  0.100134,  0.159250, 3,   3.000000,    0.014779, 216383936.000000
AL1A1_MOUSE,    0.166777,  0.143370,  0.190184, 24,  29.000000,    0.011704, 34994315264.000000
AL1A7_MOUSE,    0.088316,  0.062697,  0.113935, 3,   4.000000,    0.012810, 685113856.000000
AL1B1_MOUSE,    0.085189,  0.074336,  0.096043, 4,   7.000000,    0.005427, 1320886528.000000
AL3A2_MOUSE,    0.150591,  0.129015,  0.172168, 6,   8.000000,    0.010788, 2402088960.000000
AL4A1_MOUSE,    0.076459,  0.044661,  0.108257, 1,   1.000000,    0.009992, 14320302.000000
AL7A1_MOUSE,    0.114433,  0.097121,  0.131745, 14,  18.000000,    0.008656, 8255908352.000000
AL8A1_MOUSE,    0.137096,  0.106427,  0.167765, 7,  12.000000,    0.015335, 11164744704.000000
AL9A1_MOUSE,    0.161920,  0.123636,  0.200205, 6,   8.000000,    0.019142, 3694299904.000000
ALAT1_MOUSE,    0.204196,  0.135457,  0.272934, 6,  10.000000,    0.034369, 1692587008.000000
ALAT2_MOUSE,    0.212661,  0.186307,  0.239016, 2,   2.000000,    0.013177, 44137904.000000
ALBU_MOUSE,    0.118636,  0.080009,  0.157264, 3,   3.000000,    0.019314, 387962816.000000
ALDH2_MOUSE,    0.252717,  0.208025,  0.297410, 19,  25.000000,    0.022346, 68219375616.000000
ALDOA_MOUSE,    0.099114,  0.050608,  0.147620, 5,  12.000000,    0.024253, 13296347136.000000
ALDOB_MOUSE,    0.267377,  0.184959,  0.349796, 18,  22.000000,    0.041209, 101107679232.000000
ALKMO_MOUSE,    0.074337,  0.041359,  0.107316, 1,   1.000000,    0.012829, 145211856.000000
AMACR_MOUSE,    0.173510,  0.150369,  0.196651, 3,   3.000000,    0.011571, 272920000.000000
AMBP_MOUSE,    0.757051,  0.406785,  1.107318, 6,   7.000000,    0.175133, 1063199872.000000
AMPL_MOUSE,    0.103400,  0.089322,  0.117478, 9,  12.000000,    0.007039, 2074888064.000000
AMRP_MOUSE,    0.314439,  0.218402,  0.410475, 4,   7.000000,    0.048018, 2595311104.000000
ANM1_MOUSE,    0.100577,  0.075865,  0.125288, 4,   7.000000,    0.012356, 321892384.000000
ANXA7_MOUSE,    0.186982,  0.000000,  0.696319, 1,   1.000000,    0.073130, 34861648.000000
AP2M1_MOUSE,    0.058312,  0.046692,  0.069931, 3,   3.000000,    0.005810, 114350896.000000
APMAP_MOUSE,    0.107834,  0.081152,  0.134516, 10,  13.000000,    0.013341, 7122753024.000000
APOA4_MOUSE,    0.483092,  0.081580,  0.884605, 4,   8.000000,    0.200756, 3137135360.000000
ARGI1_MOUSE,    0.115693,  0.101833,  0.129554, 17,  21.000000,    0.006930, 10661014528.000000
ARLY_MOUSE,    0.155876,  0.125505,  0.186247, 28,  35.000000,    0.015185, 41970704384.000000
ARP10_MOUSE,    0.719113,  0.418928,  1.019299, 2,   2.000000,    0.150093, 223262720.000000
