AA_name,Tritium,Asym_NEH,APE,MPE,Asym_NEH_ci,APE_ci,MPE_ci
Alanine (A),4,3.61438493651222,3.67456686867261,3.72363796543907,0.0507383388047183,0.0492058142515886,0.0971451347084828
Cysteine (C),1.62,1.61979907283977,1.94037204395237,1.96388814549309,0.163516269486853,0.156621697359905,0.301546639596144
Aspartic acid (D),1.89,2.69863223937238,2.52304406879243,2.69198702953825,0.0832914072742048,0.0768849099819667,0.165743353119848
Glutamic acid (E),3.95,4.24260559184249,4.20580116924972,4.41418131604387,0.0653628773584214,0.0593927086191499,0.139513483044437
Phenylalanine (F),0.32,0.459158222130365,0.342599697328201,0.4598450960482,0.0756612432433664,0.0689747374526331,0.154187271120441
Glycine (G),2.06,1.884180250535,1.94833329472824,1.89059142207777,0.0546541171185294,0.0527448294370849,0.111566021685083
Histidine (H),2.88,2.10607876999635,2.280342582084,2.30831286284573,0.101518944518885,0.0964111532121934,0.206551199466454
Isoleucine (I),1,0.780255106619891,0.827383772580891,0.789743401225504,0.065472201176375,0.0593709218962929,0.138642867793344
lysine (K),0.54,0.380582046547165,0.25482304525043,0,0.129601178542463,0.123595688524275,0.276578900568529
Leucine (L),0.6,0.851373050367936,0.796025576535865,0.945079520924443,0.0490517986043254,0.0459317758981092,0.101563214161481
Methionine (M),1.12,0.959000781514976,0.839078856728277,0.917046920324185,0.10896505966428,0.111519720680068,0.219071255202239
Asparagine (N),1.89,1.31157252305652,1.50995637631179,1.50034241076443,0.0869549750677766,0.078984007847296,0.17392764166266
Proline (P),2.59,1.72949921079639,1.97571465763327,1.96160509667683,0.0828426276553756,0.0776997467032076,0.165923367877189
Glutamine (Q),3.95,4.0054746358854,3.96746871140486,4.10558478192178,0.0723673967626384,0.0651393860545212,0.142434560021493
Arginine (R),3.43,2.32622527039168,2.37883887302535,2.06210874000895,0.155686625355865,0.148836230921165,0.322612589473435
Serine (S),2.61,2.06315035428135,2.19362712186616,2.15271464931194,0.0640097966601806,0.0619374739744798,0.129395156519276
Threonine (T),0.2,0.228416440116517,0.264724757440115,0.224278345607743,0.0646139477507383,0.0607488913035176,0.132158731739143
Valine (V),0.56,0.701447613834142,0.635692923727116,0.680066897603913,0.0541727183842677,0.0520253481471894,0.107579264485497
Tryptophan (W),0.08,0.222039517935204,0.254890271009733,0.253228985703728,0.147942977367256,0.137253821442249,0.320223118049508
Tyrosine (Y),0.42,0.789580622423715,0.767994794991906,1.04534078481714,0.089889712962001,0.0822493669739631,0.18492964308382
