Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
1433B_MOUSE,    0.255565,  0.213340,  0.297789, 11,  15.000000,    0.021112, 109274275840.000000
1433E_MOUSE,    0.229749,  0.200150,  0.259347, 7,  10.000000,    0.014799, 55363903488.000000
1433F_MOUSE,    0.179117,  0.133001,  0.225232, 4,   7.000000,    0.023058, 13284797440.000000
1433G_MOUSE,    0.216709,  0.191195,  0.242223, 5,   7.000000,    0.012757, 14318576640.000000
1433T_MOUSE,    0.242391,  0.173900,  0.310883, 5,   8.000000,    0.034246, 11568807936.000000
1433Z_MOUSE,    0.210005,  0.190312,  0.229697, 6,   9.000000,    0.009846, 42462642176.000000
2AAA_MOUSE,    0.265673,  0.208246,  0.323100, 7,  11.000000,    0.028713, 11402863616.000000
3BHS3_MOUSE,    0.309221,  0.221487,  0.396956, 4,   9.000000,    0.043867, 20918204416.000000
3BHS5_MOUSE,    0.207285,  0.148183,  0.266386, 2,   4.000000,    0.029551, 8144414208.000000
3BHS7_MOUSE,    0.460415,  0.335430,  0.585400, 5,   6.000000,    0.062492, 6466564096.000000
3HAO_MOUSE,    0.181908,  0.154672,  0.209145, 10,  17.000000,    0.013618, 253943005184.000000
3HIDH_MOUSE,    0.115383,  0.096042,  0.134724, 13,  21.000000,    0.009670, 86687703040.000000
6PGD_MOUSE,    0.171343,  0.144562,  0.198125, 7,  10.000000,    0.013391, 17277116416.000000
6PGL_MOUSE,    0.176344,  0.149594,  0.203094, 6,  11.000000,    0.013375, 30131050496.000000
A16A1_MOUSE,    0.263004,  0.213207,  0.312801, 7,   9.000000,    0.024898, 9337579520.000000
A1AT1_MOUSE,    0.559741,  0.428051,  0.691430, 7,  14.000000,    0.065845, 49060585472.000000
A1AT2_MOUSE,    0.885439,  0.611331,  1.159547, 9,  17.000000,    0.137054, 28150587392.000000
A1AT3_MOUSE,    1.002873,  0.596191,  1.409556, 3,   3.000000,    0.203341, 2122700544.000000
A1AT4_MOUSE,    0.463446,  0.252551,  0.674341, 5,   5.000000,    0.105447, 62193430528.000000
A1AT5_MOUSE,    0.917376,  0.546807,  1.287944, 3,   6.000000,    0.185284, 4447224320.000000
