Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
AASS_MOUSE,    0.083995,  0.053212,  0.114778, 4,   7.000000,    0.015391, 170494336.000000
AATM_MOUSE,    0.027179,  0.016967,  0.037390, 3,   3.000000,    0.005106, 42964988.000000
ABCB7_MOUSE,    0.124666,  0.000000,  0.866750, 1,   1.000000,    0.132326, 14556037.000000
ABCBB_MOUSE,    0.294745,  0.228110,  0.361380, 46,  56.000000,    0.033318, 13866937344.000000
ABCD3_MOUSE,    0.222851,  0.169181,  0.276521, 8,  11.000000,    0.026835, 657662272.000000
ABCG2_MOUSE,    0.422291,  0.265871,  0.578710, 3,   3.000000,    0.078210, 48513764.000000
ACADV_MOUSE,    0.130434,  0.071718,  0.189149, 5,   7.000000,    0.029358, 161812304.000000
ACLY_MOUSE,    0.111838,  0.074138,  0.149537, 6,  12.000000,    0.018850, 416446144.000000
ACOHC_MOUSE,    0.060654,  0.035945,  0.085363, 3,   3.000000,    0.012354, 44041804.000000
ACON_MOUSE,    0.070391,  0.044418,  0.096364, 4,   6.000000,    0.012987, 157879584.000000
ACOX1_MOUSE,    0.106769,  0.021838,  0.191701, 3,   5.000000,    0.042466, 111704768.000000
ACSF2_MOUSE,    0.078866,  0.063135,  0.094598, 4,   6.000000,    0.007866, 197494032.000000
ACSL1_MOUSE,    0.153817,  0.121179,  0.186455, 14,  20.000000,    0.016319, 827731200.000000
ACSL5_MOUSE,    0.168732,  0.115618,  0.221847, 4,   5.000000,    0.026557, 110142304.000000
ACSL6_MOUSE,    0.120364,  0.065222,  0.175507, 1,   1.000000,    0.017327, 66877976.000000
ACTB_MOUSE,    0.058040,  0.027788,  0.088291, 4,   8.000000,    0.015126, 276137920.000000
ACTN1_MOUSE,    0.062272,  0.039678,  0.084866, 1,   1.000000,    0.007100, 5877550.500000
ACTN4_MOUSE,    0.082347,  0.000000,  2.976734, 1,   1.000000,    0.027071, 5861154.000000
ADH1_MOUSE,    0.108879,  0.083767,  0.133991, 10,  12.000000,    0.012556, 3598986496.000000
ADT2_MOUSE,    0.088074,  0.074597,  0.101552, 6,  10.000000,    0.006739, 881935424.000000
AIFM1_MOUSE,    5.330717,  4.591788,  6.069645, 1,   1.000000,  1476023.125000, 53401680.000000
AL1A1_MOUSE,    0.195627,  0.135822,  0.255433, 4,   7.000000,    0.029903, 261734416.000000
AL1B1_MOUSE,    0.052136,  0.022992,  0.081280, 1,   1.000000,    0.011337, 9892624.000000
AL1L1_MOUSE,    0.131183,  0.091799,  0.170567, 19,  28.000000,    0.019692, 2097401728.000000
AL3A2_MOUSE,    0.046020,  0.018674,  0.073367, 1,   1.000000,    0.008593, 6816831.000000
AL4A1_MOUSE,    0.084470,  0.064691,  0.104249, 2,   2.000000,    0.009889, 86096128.000000
ALBU_MOUSE,    0.092615,  0.051495,  0.133736, 5,  15.000000,    0.020560, 898878144.000000
ALDH2_MOUSE,    0.105164,  0.058084,  0.152244, 4,  10.000000,    0.023540, 672527040.000000
ALDOB_MOUSE,    0.066264,  0.033776,  0.098751, 4,   6.000000,    0.016244, 389999872.000000
AMPE_MOUSE,    0.256737,  0.158133,  0.355341, 21,  26.000000,    0.049302, 4119377664.000000
AMPN_MOUSE,    0.413977,  0.227045,  0.600908, 25,  37.000000,    0.093466, 12254838784.000000
AOFB_MOUSE,    0.402672,  0.360806,  0.444538, 3,   4.000000,    0.020933, 604921088.000000
AOXA_MOUSE,    0.234388,  0.157742,  0.311035, 31,  48.000000,    0.038323, 10515886080.000000
AOXC_MOUSE,    0.209536,  0.162892,  0.256180, 71,  92.000000,    0.023322, 100942479360.000000
AP2B1_MOUSE,    0.080108,  0.012873,  0.147343, 1,   1.000000,    0.021127, 2915256.500000
AP3B1_MOUSE,    0.119851,  0.075503,  0.164199, 2,   2.000000,    0.022174, 34154944.000000
AP3D1_MOUSE,    0.426472,  0.325795,  0.527150, 5,   6.000000,    0.050339, 274747616.000000
ARGI1_MOUSE,    0.068644,  0.049038,  0.088250, 2,   2.000000,    0.009803, 34519456.000000
ARLY_MOUSE,    0.483838,  0.000000,  8.761261, 1,   1.000000,    0.204038, 19671202.000000
ASSY_MOUSE,    0.087065,  0.063138,  0.110992, 7,  10.000000,    0.011963, 1014680256.000000
AT11C_MOUSE,    0.128868,  0.098531,  0.159206, 9,  18.000000,    0.015169, 1022258112.000000
AT131_MOUSE,    0.122901,  0.062477,  0.183324, 2,   2.000000,    0.030212, 19965978.000000
AT1A1_MOUSE,    0.093085,  0.071607,  0.114563, 23,  28.000000,    0.010739, 3156813312.000000
AT2A2_MOUSE,    0.100921,  0.081927,  0.119915, 7,  10.000000,    0.009497, 344604768.000000
AT2B1_MOUSE,    0.162950,  0.126381,  0.199519, 7,  10.000000,    0.018284, 274101920.000000
ATPA_MOUSE,    0.064619,  0.050426,  0.078811, 12,  16.000000,    0.007096, 2103463552.000000
ATPB_MOUSE,    0.051957,  0.040633,  0.063281, 8,  13.000000,    0.005662, 989003456.000000
ATPG_MOUSE,    0.039384,  0.014376,  0.064392, 1,   1.000000,    0.007858, 5617450.500000
B3AT_MOUSE,    0.006086,  0.000000,  0.022213, 2,   2.000000,    0.008063, 10894011.000000
BAG6_MOUSE,    0.652371,  0.560335,  0.744408, 4,   4.000000,    0.046018, 127257448.000000
BCLF1_MOUSE,    0.146045,  0.000000,  0.543790, 1,   1.000000,    0.062891, 26682202.000000
BHMT1_MOUSE,    0.223680,  0.152492,  0.294868, 4,   5.000000,    0.035594, 686902848.000000
BI1_MOUSE,    0.308009,  0.184831,  0.431186, 1,   1.000000,    0.116594, 9820191.000000
BIP_MOUSE,    0.097002,  0.060607,  0.133397, 4,   7.000000,    0.018197, 531498496.000000
C163A_MOUSE,    0.245010,  0.117713,  0.372307, 2,   2.000000,    0.063648, 302299232.000000
C1TC_MOUSE,    0.114333,  0.080670,  0.147996, 11,  17.000000,    0.016831, 805957760.000000
CAH3_MOUSE,    0.151415,  0.126317,  0.176513, 4,   5.000000,    0.012549, 129349080.000000
CALX_MOUSE,    0.145673,  0.011289,  0.280057, 1,   1.000000,    0.042227, 13021643.000000
CAND1_MOUSE,    0.152472,  0.120126,  0.184817, 11,  20.000000,    0.016173, 1057470848.000000
CATA_MOUSE,    0.123968,  0.040698,  0.207237, 4,  12.000000,    0.041635, 587144512.000000
CERU_MOUSE,    0.108170,  0.067193,  0.149146, 5,   8.000000,    0.020488, 318734272.000000
CFAH_MOUSE,    0.604427,  0.000000,  1.363623, 3,   3.000000,    0.379598, 53591624.000000
CH60_MOUSE,    0.070732,  0.055709,  0.085755, 14,  22.000000,    0.007511, 1516983808.000000
CING_MOUSE,    0.124665,  0.107553,  0.141778, 4,   5.000000,    0.008556, 445002240.000000
CLH1_MOUSE,    0.111046,  0.093041,  0.129050, 89, 103.000000,    0.009002, 33628741632.000000
CLIP1_MOUSE,    0.337711,  0.224074,  0.451348, 2,   4.000000,    0.056819, 81871800.000000
CLMN_MOUSE,    0.563974,  0.279057,  0.848891, 4,   6.000000,    0.142458, 230215488.000000
CLU_MOUSE,    0.503994,  0.312099,  0.695888, 33,  58.000000,    0.095947, 18128525312.000000
CMLO1_MOUSE,    1.020947,  0.187701,  1.854192, 2,   2.000000,    0.416623, 51646560.000000
CO3_MOUSE,    0.744836,  0.259480,  1.230191, 17,  42.000000,    0.242678, 3519894784.000000
CO6A1_MOUSE,    0.684153,  0.000000,  1.840154, 2,   2.000000,    0.578000, 22080014.000000
COBL1_MOUSE,    0.103641,  0.077004,  0.130278, 5,   5.000000,    0.013319, 96072256.000000
COPA_MOUSE,    0.216683,  0.162066,  0.271299, 54,  83.000000,    0.027308, 31085615104.000000
COPB2_MOUSE,    0.112318,  0.019890,  0.204746, 3,   3.000000,    0.046214, 85072168.000000
COPB_MOUSE,    0.051831,  0.018718,  0.084944, 1,   1.000000,    0.012882, 26371154.000000
COPG1_MOUSE,    0.133559,  0.071054,  0.196064, 1,   1.000000,    0.024315, 28365326.000000
CP1A2_MOUSE,    0.163548,  0.031793,  0.295303, 3,   4.000000,    0.065878, 77992416.000000
CP237_MOUSE,    0.508455,  0.000000,  1.057141, 2,   2.000000,    0.274343, 60989556.000000
CP2A4_MOUSE,    5.348321,  5.072650,  5.623992, 2,   2.000000,    0.137835, 18031564.000000
CP2A5_MOUSE,    0.040066,  0.000000,  0.110324, 3,   3.000000,    0.035129, 11543093.000000
CP2CT_MOUSE,    0.068992,  0.015260,  0.122724, 3,   4.000000,    0.026866, 270679840.000000
CP2DA_MOUSE,    0.582849,  0.548415,  0.617283, 2,   2.000000,    0.017217, 40569528.000000
CP2DQ_MOUSE,    0.141301,  0.000000,  0.303225, 2,   2.000000,    0.080962, 15610550.000000
CP2E1_MOUSE,    0.352878,  0.000000,  0.722010, 4,   7.000000,    0.184566, 288811232.000000
CP3AB_MOUSE,    3.726671,  3.384486,  4.068856, 6,   7.000000,    0.171092, 713365824.000000
CPSM_MOUSE,    0.094514,  0.084520,  0.104508, 263, 301.000000,    0.004997, 6362799013888.000000
