AA_name,Tritium,Asym_NEH,APE,MPE,Asym_NEH_ci,APE_ci,MPE_ci
Alanine (A),4,4,4,4,0,0,0
Cysteine (C),1.62,1.60975964540227,1.90276565802637,2.23877047467701,0.259041915461949,0.189449537691648,0.40804482837964
Aspartic acid (D),1.89,2.64480998259295,2.41543252526665,2.41535204238088,0.142139783544373,0.0920092740643576,0.205211382837125
Glutamic acid (E),3.95,4.25620034528679,4.2320814685507,4.24492311823621,0.110716579581175,0.0709953187139674,0.173935944025345
Phenylalanine (F),0.32,0.518849681232546,0.316505650986532,0.348161846184286,0.117929289456311,0.0817489771908029,0.185254196180932
Glycine (G),2.06,1.86566943220645,1.97947791833654,2.00596213315518,0.0923520332997129,0.061824473119866,0.138488426187749
Histidine (H),2.88,2.00992263969347,2.29369590064914,2.36383419782178,0.182866167862029,0.117333915743811,0.247577610944541
Isoleucine (I),1,0.861787816077362,0.814356730739459,0.77238820905808,0.102520215714795,0.0692863400042833,0.1656961873492
lysine (K),0.6,0.0900636053565905,0.0620947120119703,0,0.21765048650497,0.142154227614949,0.365007560332511
Leucine (L),0.54,0.808391322580308,0.735343731241438,0.785469124192395,0.0813342897141978,0.0542319255894433,0.126393573199217
Methionine (M),1.12,1.1806692470856,0.916639467704189,0.530644425394054,0.207342151115068,0.143942915878243,0.333793422597793
Asparagine (N),1.89,1.21673127385984,1.54677167973482,1.52548585639203,0.141945824671279,0.0965666995010423,0.215214156902019
Proline (P),2.59,1.83227674228052,2.15576396417748,2.09505586156062,0.145992154626552,0.0988628763231958,0.217878804645418
Glutamine (Q),3.95,3.9580272459499,3.95472119673696,3.98655274282727,0.119441418761408,0.0752623182936896,0.170952711093803
Arginine (R),3.43,1.99261710721319,2.31873431807139,2.33178646139405,0.268212999879373,0.174698470797356,0.420075640236179
Serine (S),2.61,2.08502067309586,2.29464995383429,2.24758030424086,0.117331035177272,0.0760282832462029,0.168072974881516
Threonine (T),0.2,0.217402797897847,0.259072995732083,0.237386624402984,0.10448045655398,0.0718894367903564,0.150409095529647
Valine (V),0.56,0.688507596219341,0.585980832651886,0.638293199359941,0.091239849806545,0.0601767093442964,0.13362489075924
Tryptophan (W),0.08,0.232749025924719,0.188228629229292,0.183252802653169,0.23620391513366,0.163148591138731,0.354027952667893
Tyrosine (Y),0.42,0.749286453127093,0.650346149600928,0.760399216466645,0.144205529692932,0.0980399256015848,0.230138292645612
