AA_name,Tritium,Asym_NEH,APE,MPE,Asym_NEH_ci,APE_ci,MPE_ci
Alanine (A),4,3.5248703659665,3.71797006230501,3.70266221063216,0.077259719528063,0.0557476219158613,0.128175728616156
Cysteine (C),1.62,1.76748996799288,1.99963578768279,2.298461732227,0.230165530931171,0.179134526718895,0.396897216905023
Aspartic acid (D),1.89,2.65625168596642,2.43054550588062,2.4543925267215,0.125522133219757,0.0865527436205901,0.199359184513415
Glutamic acid (E),3.95,4.25038651445316,4.22944291724694,4.28253523997764,0.0977664656543649,0.0667472499247414,0.168929916269499
Phenylalanine (F),0.32,0.516060710372762,0.322132830805907,0.351724330030756,0.104131650127849,0.0768631558016162,0.179874238039559
Glycine (G),2.06,1.89839165039236,1.98766467670745,2.03054828831914,0.0817195499615365,0.0581458984073026,0.134700480025436
Histidine (H),2.88,2.03724065347825,2.28770895054176,2.35168971610059,0.161530521703996,0.110316115330627,0.240559652546946
Isoleucine (I),1,0.880577644997097,0.828866307908948,0.777495575316881,0.0905761155593214,0.0652016501713478,0.160898740861084
lysine (K),0.6,0.32134841495968,0.218633795871334,0.128205377506465,0.195828993405724,0.137179479910912,0.370234325426187
Leucine (L),0.54,0.872633777723955,0.772677988232723,0.83738727122679,0.0725733216427476,0.0515166591924547,0.12378476689631
Methionine (M),1.12,1.16998716437499,0.924257387491155,0.519452142559845,0.183089776706531,0.135334207994377,0.324110996965263
Asparagine (N),1.89,1.22979755250008,1.54616644438322,1.54480496880893,0.125355087037108,0.0907858513297998,0.208979968531258
Proline (P),2.59,1.72996676487923,2.08646195696703,1.98490139967254,0.129979024128201,0.0939485521536262,0.217625654783111
Glutamine (Q),3.95,3.9886740177725,3.9700864931322,3.98959998665783,0.105583531654316,0.0708219243668743,0.166099543039794
Arginine (R),3.43,2.16385379484354,2.43222782724564,2.39224509787457,0.238461264173771,0.165765263221591,0.414017134793289
Serine (S),2.61,2.05398866654019,2.26142360092631,2.19235764644776,0.103725221674258,0.0717779855419975,0.165215934114309
Threonine (T),0.2,0.228619040616558,0.262921528493303,0.217051686460313,0.092273472303571,0.0675900853763679,0.146408809008895
Valine (V),0.56,0.749148875849824,0.627241385952675,0.697897895409507,0.081165305995317,0.0571591046164616,0.131372228759883
Tryptophan (W),0.08,0.190913387823766,0.193915251895568,0.213676756535421,0.208677168133163,0.153385884437267,0.343923794526119
Tyrosine (Y),0.42,0.812568561052513,0.703994235147619,0.856050131104711,0.127747496467318,0.0927788236699957,0.22669901992962
