AA_name,Tritium,Asym_NEH,APE,MPE,Asym_NEH_ci,APE_ci,MPE_ci
Alanine (A),4,3.78617540731853,3.8931485527963,3.90932506366492,0.126407515394633,0.128298571379527,0.202844071652219
Cysteine (C),1.62,1.78172024849963,2.19566933692545,2.49093120118843,0.5545817721452,0.537330554264779,0.785102809457686
Aspartic acid (D),1.89,2.58390333755519,2.40794809417586,2.77427666801959,0.223812894980876,0.217061573049362,0.369701573118965
Glutamic acid (E),3.95,4.32107142625626,4.22187328367666,4.55713596047599,0.180807051888202,0.181231505292392,0.264797434270015
Phenylalanine (F),0.32,0.349918757585204,0.324878928131444,0.342778436604552,0.248378545917305,0.234866834937177,0.417071278000788
Glycine (G),2.06,2.10441127690508,2.04855260358814,2.21669277231384,0.142159852206627,0.142718858934093,0.2456087301563
Histidine (H),2.88,2.31640545691024,2.23665179431791,1.81991859940104,0.320070034604266,0.327743516839532,0.519410970890898
Isoleucine (I),1,0.66237076244811,0.83062105672418,0.687953216516215,0.199971768590124,0.186531147396816,0.342515472527259
lysine (K),0.54,0.527131066901339,0.497484127316507,0,0.376212796043775,0.366903810775054,0.552339182884768
Leucine (L),0.6,0.730130598439498,0.528191147283198,0.585170747489469,0.142076964634244,0.129369127840307,0.239943972583381
Methionine (M),1.12,0.93768650894298,0.925922263877804,0.823749046021188,0.309779303222373,0.338158760360135,0.536648789676552
Asparagine (N),1.89,1.51365331380303,1.51823843034496,1.75872631571527,0.221338615216151,0.211132198854052,0.354699150956624
Proline (P),2.59,1.79015721494278,2.05837545450966,2.20433736217976,0.198234634576299,0.184494803904116,0.321700557883267
Glutamine (Q),3.95,4.09806530389132,3.92942362435087,4.26955931210424,0.195469176779942,0.169233812323344,0.342938577149639
Arginine (R),3.43,2.71243674744321,2.90485488535835,2.20412802573762,0.485791054800687,0.468294221079684,0.70154957925466
Serine (S),2.61,2.41188465631219,2.39414645147101,2.66100661179443,0.174501393637584,0.157512364330809,0.297995349485281
Threonine (T),0.2,0.245053525384896,0.299850422354193,0.173219555911276,0.16856242777195,0.160562382497797,0.294477274458882
Valine (V),0.56,0.549832955700618,0.612336882494068,0.720886562461819,0.152047662736325,0.135671146748332,0.232338627098776
Tryptophan (W),0.08,0.385489135667248,0.0851247861039296,0.680633358662534,0.516170612430551,0.49762491902811,0.777173927003423
Tyrosine (Y),0.42,0.509881470048321,0.796109572618916,0.735292328042827,0.283598923485755,0.281235902499409,0.560937310596888
