Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
1433B_MOUSE,    0.387103,  0.290299,  0.483906, 4,   8.000000,    0.048402, 38229946368.000000
1433E_MOUSE,    0.306783,  0.245948,  0.367619, 7,  18.000000,    0.030418, 156720594944.000000
1433F_MOUSE,    0.463913,  0.362084,  0.565741, 3,   4.000000,    0.050914, 11395786752.000000
1433G_MOUSE,    0.457536,  0.354161,  0.560912, 4,   7.000000,    0.051688, 41579995136.000000
1433T_MOUSE,    0.571174,  0.408154,  0.734195, 4,  10.000000,    0.081510, 34446798848.000000
1433Z_MOUSE,    0.304691,  0.242954,  0.366427, 8,  12.000000,    0.030868, 191288836096.000000
2A5E_MOUSE,    0.773436,  0.000000,  3.086492, 1,   1.000000,    0.277263, 737703488.000000
2AAA_MOUSE,    0.431717,  0.334482,  0.528952, 6,  20.000000,    0.048618, 48830750720.000000
2ABA_MOUSE,    0.684153,  0.684153,  0.684153, 2,   2.000000,    0.000000, 130440160.000000
3BHS1_MOUSE,    1.394100,  1.163942,  1.624258, 2,   2.000000,    0.115079, 11322423296.000000
3BHS3_MOUSE,    0.668102,  0.400872,  0.935331, 4,   8.000000,    0.133615, 97411661824.000000
3BHS4_MOUSE,    0.184725,  0.148918,  0.220532, 4,   6.000000,    0.017904, 51243319296.000000
3BHS5_MOUSE,    0.224808,  0.166113,  0.283502, 4,  16.000000,    0.029347, 79698485248.000000
3BHS7_MOUSE,    0.498047,  0.387725,  0.608368, 3,   7.000000,    0.055161, 20475408384.000000
3HAO_MOUSE,    0.374631,  0.288688,  0.460575, 5,  14.000000,    0.042972, 762118144000.000000
3HIDH_MOUSE,    0.157175,  0.132267,  0.182083, 9,  29.000000,    0.012454, 326084296704.000000
6PGD_MOUSE,    0.209776,  0.157909,  0.261642, 5,  10.000000,    0.025933, 87197245440.000000
6PGL_MOUSE,    0.231105,  0.147259,  0.314951, 4,  10.000000,    0.041923, 47989301248.000000
A16A1_MOUSE,    0.512477,  0.356684,  0.668271, 4,  11.000000,    0.077897, 29320777728.000000
A1AT1_MOUSE,    1.591727,  0.400742,  2.782712, 4,  12.000000,    0.595493, 158593417216.000000
A1AT2_MOUSE,    1.274611,  0.540504,  2.008718, 3,  11.000000,    0.367053, 50982912000.000000
A1AT4_MOUSE,    1.445050,  0.391889,  2.498210, 1,   4.000000,    0.703459, 25380933632.000000
