AA_name,Tritium,Asym_NEH,APE,MPE,Asym_NEH_ci,APE_ci,MPE_ci
Alanine (A),4,3.42673843209818,3.29918913462767,3.41453446103263,0.0540732968860807,0.0606796995287395,0.0975096803736046
Cysteine (C),1.62,1.662833550043,1.74174430823216,1.90772356263422,0.14101671397474,0.165705292025199,0.261923168161746
Aspartic acid (D),1.89,1.89,1.89,1.89,0,0,0
Glutamic acid (E),3.95,4.10910727626726,4.07679809668145,4.21761761998292,0.0652403499138215,0.0709302450559698,0.121288888058244
Phenylalanine (F),0.32,0.685029898148413,0.641520296459723,0.726138000111,0.0785673741327325,0.0872767464002839,0.151799946278164
Glycine (G),2.06,1.7127484381319,1.67291321796176,1.69611484875854,0.0548288858134835,0.0634270454099689,0.101283966311096
Histidine (H),2.88,1.91501649501027,1.90501373504991,1.94630033435892,0.098517497521745,0.110679090909866,0.184878200046656
Isoleucine (I),1,0.856744130359391,0.83497419490052,0.95915443476094,0.068543338604982,0.0749976166917402,0.128785583171132
lysine (K),0.6,1.1761537432891,1.21738960431417,0.974902334511333,0.10035667196635,0.106940018119914,0.193525689540335
Leucine (L),0.54,0.938333914044112,0.912168224955956,0.987949303383024,0.0505825942090255,0.0560900002869596,0.0957972561971704
Methionine (M),1.12,1.1015968476109,0.788706813287218,1.18642591021301,0.115639986734979,0.137870388221765,0.215245728398976
Asparagine (N),1.89,1.12556811345099,1.21127446712508,1.29673555655514,0.0860767371765269,0.091288733385249,0.158886078503343
Proline (P),2.59,1.407407554683,1.50021369273003,1.6873191299518,0.0712019801579692,0.0784493304025165,0.133522434281801
Glutamine (Q),3.95,3.84270046506955,3.76864333749312,3.94914796883634,0.0811366413785066,0.0900802106323226,0.152406747599679
Arginine (R),3.43,3.43,3.43,3.43,0,0,0
Serine (S),2.61,1.88122184312292,1.87034325318151,1.82965215075989,0.0625352852640528,0.0700449293916205,0.115514497068858
Threonine (T),0.2,0.308221506652078,0.345841387044835,0.406880102045065,0.0673996248696186,0.0758599514630102,0.127577436473727
Valine (V),0.56,0.766239089811369,0.725813463304768,0.830300205100452,0.0568161752631676,0.0633447844390656,0.104748851284811
Tryptophan (W),0.08,0.468709037742607,0.351528793803681,0.746342080464656,0.148237909096951,0.16840179351782,0.304006723171453
Tyrosine (Y),0.42,0.973395324993807,0.99801158839562,1.13084887396404,0.0929962995608538,0.102330236890395,0.175829810745758
