Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
1433B_MOUSE,    0.158910,  0.144623,  0.173198, 10,  16.000000,    0.007144, 73268617216.000000
1433E_MOUSE,    0.177583,  0.163248,  0.191917, 15,  19.000000,    0.007167, 37203046400.000000
1433F_MOUSE,    0.063716,  0.061687,  0.065744, 4,   8.000000,    0.000994, 4078727680.000000
1433G_MOUSE,    0.201240,  0.190630,  0.211850, 4,   7.000000,    0.005305, 4068246272.000000
1433T_MOUSE,    0.255027,  0.233744,  0.276309, 10,  12.000000,    0.010641, 11918619648.000000
1433Z_MOUSE,    0.192175,  0.183398,  0.200952, 12,  14.000000,    0.004388, 42693603328.000000
2AAA_MOUSE,    0.311560,  0.285335,  0.337785, 11,  20.000000,    0.013113, 5485188608.000000
2ABA_MOUSE,    0.198773,  0.173929,  0.223617, 3,   3.000000,    0.012422, 248285024.000000
3BHS2_MOUSE,    0.299764,  0.263893,  0.335636, 6,   7.000000,    0.017615, 2036028800.000000
3BHS3_MOUSE,    0.265575,  0.214526,  0.316625, 5,  10.000000,    0.032363, 2004514304.000000
3BHS4_MOUSE,    0.198536,  0.178508,  0.218564, 7,  14.000000,    0.010014, 12259418112.000000
3HAO_MOUSE,    0.152446,  0.147402,  0.157491, 5,  10.000000,    0.002522, 20406589440.000000
3HIDH_MOUSE,    0.076311,  0.071293,  0.081330, 19,  24.000000,    0.002509, 57579393024.000000
4F2_MOUSE,    0.147418,  0.126689,  0.168147, 4,  16.000000,    0.010364, 14766859264.000000
5NT3A_MOUSE,    0.192344,  0.158735,  0.225953, 3,   4.000000,    0.016804, 626667136.000000
5NTC_MOUSE,    0.092975,  0.065587,  0.120362, 1,   4.000000,    0.011582, 286845248.000000
5NTD_MOUSE,    0.158765,  0.146867,  0.170662, 3,   3.000000,    0.005949, 227732624.000000
6PGD_MOUSE,    0.161061,  0.149319,  0.172804, 8,  15.000000,    0.005871, 10826130432.000000
6PGL_MOUSE,    0.100793,  0.091814,  0.109771, 6,   8.000000,    0.004489, 6660889600.000000
A16A1_MOUSE,    0.221765,  0.200594,  0.242937, 3,   5.000000,    0.008710, 314958272.000000
A1AG1_MOUSE,    0.569359,  0.429274,  0.709444, 1,   1.000000,    0.062871, 578715968.000000
A1AT1_MOUSE,    0.493202,  0.411162,  0.575241, 13,  20.000000,    0.056005, 33786277888.000000
A1AT2_MOUSE,    0.358528,  0.308578,  0.408477, 18,  24.000000,    0.021069, 15118049280.000000
A1AT4_MOUSE,    0.287714,  0.264719,  0.310708, 3,   4.000000,    0.011497, 15182848000.000000
A1AT5_MOUSE,    0.343853,  0.262460,  0.425246, 4,   6.000000,    0.040697, 1933825664.000000
A4_MOUSE,    6.888514,  5.425785,  8.351242, 1,   1.000000,   45.622341, 61247380.000000
AAAD_MOUSE,    0.328333,  0.288658,  0.368008, 5,   9.000000,    0.019838, 4880454656.000000
AACS_MOUSE,    0.369550,  0.332350,  0.406751, 4,   6.000000,    0.018600, 2506754048.000000
AADAT_MOUSE,    0.093076,  0.086514,  0.099637, 15,  24.000000,    0.003281, 31582439424.000000
AAPK1_MOUSE,    0.504627,  0.482736,  0.526519, 1,   1.000000,    0.006879, 92224304.000000
AAPK2_MOUSE,    0.413813,  0.324010,  0.503616, 2,   2.000000,    0.009124, 57277568.000000
AASD1_MOUSE,    0.245504,  0.204714,  0.286295, 3,   3.000000,    0.020395, 621572544.000000
AASS_MOUSE,    0.099766,  0.090716,  0.108815, 29,  49.000000,    0.004525, 86324494336.000000
AATC_MOUSE,    0.115297,  0.106968,  0.123626, 13,  23.000000,    0.004165, 24955430912.000000
AATM_MOUSE,    0.068571,  0.064982,  0.072161, 33,  43.000000,    0.001795, 176557113344.000000
ABCB7_MOUSE,    0.083057,  0.075842,  0.090272, 3,   4.000000,    0.003608, 1000335680.000000
ABCD3_MOUSE,    0.165282,  0.150841,  0.179723, 13,  20.000000,    0.007221, 18680864768.000000
ABCE1_MOUSE,    0.232272,  0.207419,  0.257125, 3,   4.000000,    0.012426, 232172464.000000
ABCF1_MOUSE,    0.211047,  0.131338,  0.290757, 2,   2.000000,    0.010602, 1729660928.000000
ABCG2_MOUSE,    0.155771,  0.140226,  0.171316, 8,  14.000000,    0.007773, 16843059200.000000
ABHDB_MOUSE,    0.090410,  0.082735,  0.098084, 3,   4.000000,    0.003837, 1718268032.000000
ABHEB_MOUSE,    0.139394,  0.131088,  0.147700, 11,  13.000000,    0.004121, 54918615040.000000
ABHGA_MOUSE,    0.216132,  0.176766,  0.255497, 3,   3.000000,    0.014335, 152574672.000000
ABI1_MOUSE,    2.359440,  2.284561,  2.434319, 2,   2.000000,    0.037440, 415239872.000000
ABLM1_MOUSE,    0.199934,  0.196179,  0.203690, 2,   2.000000,    0.001878, 76719632.000000
ABRAL_MOUSE,    0.168541,  0.154411,  0.182672, 3,   3.000000,    0.007065, 1640227072.000000
ABRX2_MOUSE,    0.024159,  0.003957,  0.044361, 1,   1.000000,    0.004695, 78984184.000000
ACAD8_MOUSE,    0.065474,  0.060947,  0.070002, 8,  17.000000,    0.002264, 18779877376.000000
ACAD9_MOUSE,    0.093494,  0.084162,  0.102826, 9,  18.000000,    0.004666, 8727086080.000000
ACADL_MOUSE,    0.093329,  0.087546,  0.099112, 23,  28.000000,    0.002892, 106848608256.000000
ACADM_MOUSE,    0.130060,  0.123328,  0.136792, 26,  29.000000,    0.003358, 140646055936.000000
ACADS_MOUSE,    0.096103,  0.090504,  0.101703, 25,  29.000000,    0.002810, 82094817280.000000
ACADV_MOUSE,    0.141549,  0.130228,  0.152871, 31,  39.000000,    0.005661, 40509317120.000000
ACBD5_MOUSE,    0.435706,  0.425589,  0.445823, 2,   4.000000,    0.004791, 475368224.000000
ACBP_MOUSE,    0.228860,  0.215161,  0.242559, 6,   7.000000,    0.006849, 65265254400.000000
ACD10_MOUSE,    0.098739,  0.090107,  0.107370, 15,  30.000000,    0.004316, 23234856960.000000
ACD11_MOUSE,    0.164799,  0.147751,  0.181847, 16,  22.000000,    0.008524, 13561369600.000000
ACDSB_MOUSE,    0.179893,  0.158777,  0.201009, 7,  12.000000,    0.010558, 8387738112.000000
ACE2_MOUSE,    0.486035,  0.467724,  0.504347, 2,   7.000000,    0.009156, 1434354176.000000
ACE_MOUSE,    0.106522,  0.091200,  0.121844, 4,  12.000000,    0.007661, 2789569536.000000
ACL6A_MOUSE,    0.170969,  0.170570,  0.171368, 2,   4.000000,    0.000200, 1606075264.000000
ACLY_MOUSE,    0.232468,  0.212941,  0.251996, 11,  22.000000,    0.009764, 10212664320.000000
ACMSD_MOUSE,    0.367193,  0.316617,  0.417769, 3,   3.000000,    0.017576, 697353408.000000
ACNT1_MOUSE,    0.919871,  0.906959,  0.932782, 2,   6.000000,    0.006456, 1052012032.000000
ACO12_MOUSE,    0.182418,  0.167800,  0.197037, 4,   8.000000,    0.007309, 3689899008.000000
ACO13_MOUSE,    0.094529,  0.090090,  0.098968, 4,   6.000000,    0.002219, 15411852288.000000
ACOC_MOUSE,    0.179097,  0.166135,  0.192059, 31,  45.000000,    0.006481, 50988023808.000000
ACON_MOUSE,    0.080936,  0.076139,  0.085733, 57,  68.000000,    0.002399, 401942380544.000000
ACOT1_MOUSE,    0.108452,  0.093219,  0.123684, 10,  19.000000,    0.006570, 14413302784.000000
ACOT2_MOUSE,    0.093717,  0.085833,  0.101600, 9,  18.000000,    0.004536, 8537688576.000000
ACOT4_MOUSE,    0.076311,  0.067764,  0.084858, 4,  11.000000,    0.004273, 2804491264.000000
ACOT8_MOUSE,    0.068787,  0.051712,  0.085861, 3,   3.000000,    0.008537, 1106089856.000000
ACOT9_MOUSE,    0.082164,  0.072172,  0.092156, 9,  15.000000,    0.004900, 6905574400.000000
ACOX1_MOUSE,    0.240577,  0.220796,  0.260358, 42,  58.000000,    0.009831, 137323126784.000000
ACOX2_MOUSE,    0.073507,  0.065794,  0.081219, 8,  15.000000,    0.003856, 6112551936.000000
ACOX3_MOUSE,    0.117719,  0.109007,  0.126430, 15,  27.000000,    0.004350, 21059987456.000000
ACPM_MOUSE,    0.090280,  0.084504,  0.096057, 5,   5.000000,    0.002888, 17028812800.000000
ACS2L_MOUSE,    0.101602,  0.090617,  0.112586, 17,  28.000000,    0.005492, 24637169664.000000
ACSA_MOUSE,    0.317278,  0.307860,  0.326695, 4,   8.000000,    0.004709, 4426859008.000000
ACSF2_MOUSE,    0.095363,  0.082714,  0.108012, 3,   5.000000,    0.006325, 619350336.000000
ACSF3_MOUSE,    0.132115,  0.123926,  0.140304, 4,   9.000000,    0.004095, 2040255232.000000
ACSL1_MOUSE,    0.097455,  0.084630,  0.110280, 8,  22.000000,    0.006412, 19686819840.000000
ACSM1_MOUSE,    0.079776,  0.072708,  0.086843, 17,  23.000000,    0.003484, 23497510912.000000
ACSM2_MOUSE,    0.095292,  0.090280,  0.100304, 57,  69.000000,    0.002506, 803294543872.000000
ACSM3_MOUSE,    0.113932,  0.103944,  0.123920, 17,  26.000000,    0.004994, 30433251328.000000
ACSM5_MOUSE,    0.086002,  0.078588,  0.093415, 5,   9.000000,    0.003707, 4664166912.000000
ACSS3_MOUSE,    1.010528,  0.935036,  1.086021, 2,   2.000000,    0.037746, 347172480.000000
ACTA_MOUSE,    0.049576,  0.046743,  0.052408, 30,  43.000000,    0.001415, 1338656030720.000000
ACTBL_MOUSE,    0.071277,  0.061056,  0.081498, 9,  15.000000,    0.010575, 59378053120.000000
ACTB_MOUSE,    0.070713,  0.060967,  0.080458, 24,  35.000000,    0.011450, 292180230144.000000
ACTC_MOUSE,    0.072163,  0.041913,  0.102412, 3,   3.000000,    0.013542, 60987588608.000000
ACTG_MOUSE,    0.073517,  0.063014,  0.084020, 38,  49.000000,    0.006160, 453609553920.000000
ACTH_MOUSE,    0.000016,  0.000016,  0.000016, 1,   1.000000,         inf, 1745981.625000
