DataPoint,DataPoint._xValue,DataPoint.positionRel,DataPoint._lastLabelText,DataPoint.pointCustomProperties,DataPoint.series,DataPoint.tempColorIsSet,DataPoint.customProperties,DataPoint.isEmptyPoint,DataPoint.XValue,DataPoint.IsEmpty,DataPoint.Name,DataPoint.Label,DataPoint.AxisLabel,DataPoint.LabelFormat,DataPoint.IsValueShownAsLabel,DataPoint.Color,DataPoint.BorderColor,DataPoint.BorderDashStyle,DataPoint.BorderWidth,DataPoint.BackImage,DataPoint.BackImageWrapMode,DataPoint.BackImageTransparentColor,DataPoint.BackImageAlignment,DataPoint.BackGradientStyle,DataPoint.BackSecondaryColor,DataPoint.BackHatchStyle,DataPoint.Font,DataPoint.LabelForeColor,DataPoint.LabelAngle,DataPoint.MarkerStyle,DataPoint.MarkerSize,DataPoint.MarkerImage,DataPoint.MarkerImageTransparentColor,DataPoint.MarkerColor,DataPoint.MarkerBorderColor,DataPoint.MarkerBorderWidth,DataPoint.CustomPropertiesExtended,DataPoint.CustomProperties,DataPoint.ToolTip,DataPoint.IsVisibleInLegend,DataPoint.LegendText,DataPoint.LegendToolTip,DataPoint.LabelBackColor,DataPoint.LabelBorderColor,DataPoint.LabelBorderDashStyle,DataPoint.LabelBorderWidth,DataPoint.LabelToolTip,DataPoint.Tag,DataPoint.Parent,DataPoint.Common,DataPoint.Chart
"{X=0, Y=0.583928826208822}",0,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0, Y=0.583928826208822}",0,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.155, Y=0.578923100627845}",0.155,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.155,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.31, Y=0.574011090643512}",0.31,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.31,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.465, Y=0.569191041742332}",0.465,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.465,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.62, Y=0.564461232258259}",0.62,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.62,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.775, Y=0.559819972757728}",0.775,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.775,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=0.93, Y=0.555265605436208}",0.93,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,0.93,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=1, Y=0.553236839334505}",1,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,1,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
"{X=1.085, Y=0.550796503526059}",1.085,"{X=0, Y=0}","",True,Series-Series3,False,System.Windows.Forms.DataVisualization.Charting.CustomProperties,False,1.085,False,DataPoint,"","","",False,"Color [Purple]","Color [Empty]",Solid,2,"",Tile,"Color [Empty]",TopLeft,None,"Color [Empty]",None,"[Font: Name=Microsoft Sans Serif, Size=8, Units=3, GdiCharSet=1, GdiVerticalFont=False]","Color [Black]",0,None,5,"","Color [Empty]","Color [Empty]","Color [Empty]",1,System.Windows.Forms.DataVisualization.Charting.CustomProperties,"","",True,"Theoretical fit","","Color [Empty]","Color [Empty]",Solid,1,"","",System.Windows.Forms.DataVisualization.Charting.DataPointCollection,System.Windows.Forms.DataVisualization.Charting.CommonElements,System.Windows.Forms.DataVisualization.Charting.Chart
