Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
A1AG1_MOUSE,    0.680407,  0.267192,  1.093623, 1,   1.000000,    0.148829, 345343008.000000
A1AT1_MOUSE,    0.417124,  0.232600,  0.601647, 12,  18.000000,    0.092262, 156032335872.000000
A1AT2_MOUSE,    0.567577,  0.454532,  0.680623, 4,  18.000000,    0.056523, 44941619200.000000
A1AT3_MOUSE,    0.455684,  0.455684,  0.455684, 6,   6.000000,    0.000000, 6046144000.000000
A1AT4_MOUSE,    0.397634,  0.286531,  0.508736, 4,   4.000000,    0.055551, 34741006336.000000
A1AT5_MOUSE,    0.603264,  0.459025,  0.747504, 4,   5.000000,    0.072120, 28759050240.000000
A2AP_MOUSE,    0.308974,  0.124696,  0.493252, 3,   5.000000,    0.092139, 7881366016.000000
A2MG_MOUSE,    0.322148,  0.235076,  0.409220, 2,   2.000000,    0.043536, 10546641920.000000
AFAM_MOUSE,    0.129831,  0.063374,  0.196288, 4,   8.000000,    0.033229, 4232938240.000000
ALBU_MOUSE,    0.134199,  0.098216,  0.170183, 58,  67.000000,    0.017992, 5309869850624.000000
ALS_MOUSE,    1.361135,  1.247004,  1.475267, 3,   4.000000,    0.057066, 561354304.000000
AMBP_MOUSE,    1.025036,  0.761877,  1.288195, 2,   2.000000,    0.131580, 2030442624.000000
ANGT_MOUSE,    2.294061,  1.234113,  3.354009, 3,   3.000000,    0.529974, 503866432.000000
ANT3_MOUSE,    0.559812,  0.296186,  0.823437, 5,   9.000000,    0.131813, 9871129600.000000
APOA1_MOUSE,    0.708013,  0.472481,  0.943546, 7,  14.000000,    0.117766, 186049658880.000000
APOA2_MOUSE,    0.866308,  0.501522,  1.231093, 2,   2.000000,    0.182393, 12922697728.000000
APOA4_MOUSE,    0.453741,  0.213434,  0.694047, 7,   7.000000,    0.120153, 10259874816.000000
APOB_MOUSE,    3.116297,  0.685493,  5.547100, 4,  14.000000,    1.215402, 4729517568.000000
APOC1_MOUSE,    3.787270,  2.484423,  5.090116, 2,   2.000000,    0.651423, 9938428928.000000
APOC3_MOUSE,    2.115027,  1.185189,  3.044865, 2,   2.000000,    0.464919, 2226887936.000000
APOE_MOUSE,    3.566954,  1.744826,  5.389081, 3,   3.000000,    0.911064, 9725032448.000000
APOH_MOUSE,    1.213449,  0.609926,  1.816973, 4,   6.000000,    0.301762, 7540959232.000000
C1QB_MOUSE,    0.307787,  0.000000,  1.691434, 1,   1.000000,    0.227356, 71771296.000000
C4BPA_MOUSE,    0.258883,  0.008013,  0.509752, 1,   1.000000,    0.090356, 855217600.000000
CBG_MOUSE,    0.241083,  0.038880,  0.443286, 3,   3.000000,    0.101101, 1233155456.000000
CBPB2_MOUSE,    0.392102,  0.095239,  0.688965, 3,   3.000000,    0.148432, 755158592.000000
CBPN_MOUSE,    0.357950,  0.187389,  0.528511, 2,   2.000000,    0.085280, 1470569856.000000
CERU_MOUSE,    0.516678,  0.284474,  0.748881, 9,  18.000000,    0.116102, 12528737280.000000
CES1D_MOUSE,    0.389206,  0.290202,  0.488211, 2,   2.000000,    0.049502, 7826229248.000000
CFAB_MOUSE,    0.953474,  0.486903,  1.420045, 4,   8.000000,    0.233286, 5158661120.000000
CFAD_MOUSE,    0.708992,  0.419536,  0.998447, 1,   1.000000,    0.104254, 75901128.000000
CFAH_MOUSE,    0.486907,  0.234718,  0.739096, 9,  15.000000,    0.126094, 7252386816.000000
CFAI_MOUSE,    0.104479,  0.028639,  0.180318, 3,   3.000000,    0.037920, 601215104.000000
CLUS_MOUSE,    2.055650,  1.346701,  2.764600, 4,   6.000000,    0.354475, 3998552320.000000
CO3_MOUSE,    1.100902,  0.725261,  1.476543, 31,  52.000000,    0.187821, 133788770304.000000
CO4B_MOUSE,    0.776885,  0.457164,  1.096607, 5,  14.000000,    0.159861, 4781511680.000000
CO5_MOUSE,    0.560883,  0.368652,  0.753115, 11,  20.000000,    0.096116, 9236278272.000000
CO8A_MOUSE,    0.175904,  0.031842,  0.319965, 3,   3.000000,    0.072031, 1706983936.000000
CO8B_MOUSE,    0.444349,  0.291177,  0.597522, 3,   3.000000,    0.076586, 762233600.000000
CO8G_MOUSE,    0.797372,  0.544662,  1.050082, 2,   2.000000,    0.126355, 433100640.000000
CO9_MOUSE,    0.900241,  0.648868,  1.151615, 2,   6.000000,    0.125687, 645377536.000000
CPN2_MOUSE,    0.397669,  0.207984,  0.587355, 3,   5.000000,    0.094843, 2791014144.000000
EGFR_MOUSE,    0.305344,  0.209939,  0.400748, 4,   6.000000,    0.047702, 4319066112.000000
EST1C_MOUSE,    0.666817,  0.507964,  0.825670, 6,  13.000000,    0.079427, 16514241536.000000
