Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
1433B_MOUSE,    0.233609,  0.188760,  0.278458, 12,  15.000000,    0.022425, 107445264384.000000
1433E_MOUSE,    0.214058,  0.181954,  0.246163, 7,  10.000000,    0.016052, 52833333248.000000
1433F_MOUSE,    0.169430,  0.125214,  0.213645, 4,   7.000000,    0.022108, 13286307840.000000
1433G_MOUSE,    0.204241,  0.171736,  0.236747, 6,   7.000000,    0.016253, 13251227648.000000
1433T_MOUSE,    0.291618,  0.228962,  0.354273, 6,   8.000000,    0.031328, 11506025472.000000
1433Z_MOUSE,    0.207101,  0.188855,  0.225348, 6,   9.000000,    0.009123, 39874748416.000000
2AAA_MOUSE,    0.261166,  0.210275,  0.312057, 7,  11.000000,    0.025446, 11524967424.000000
3BHS3_MOUSE,    0.391263,  0.315790,  0.466735, 4,   9.000000,    0.037736, 19612121088.000000
3BHS5_MOUSE,    0.161618,  0.112409,  0.210827, 4,   4.000000,    0.024605, 7889235456.000000
3BHS7_MOUSE,    0.537785,  0.352560,  0.723011, 4,   6.000000,    0.092613, 6180233728.000000
3HAO_MOUSE,    0.182356,  0.152337,  0.212376, 11,  17.000000,    0.015010, 235752275968.000000
3HIDH_MOUSE,    0.108799,  0.088517,  0.129082, 16,  21.000000,    0.010141, 85736464384.000000
6PGD_MOUSE,    0.158133,  0.132299,  0.183968, 8,  10.000000,    0.012917, 16529475584.000000
6PGL_MOUSE,    0.167844,  0.140985,  0.194704, 7,  11.000000,    0.013430, 29905539072.000000
A16A1_MOUSE,    0.254783,  0.206522,  0.303044, 6,   9.000000,    0.024131, 9222905856.000000
A1AT1_MOUSE,    0.598134,  0.421572,  0.774696, 11,  14.000000,    0.088281, 43275214848.000000
A1AT2_MOUSE,    0.724744,  0.446618,  1.002870, 10,  17.000000,    0.139063, 28050305024.000000
A1AT3_MOUSE,    1.058604,  0.704938,  1.412270, 3,   3.000000,    0.176833, 2120673152.000000
A1AT4_MOUSE,    0.062540,  0.008255,  0.116825, 5,   5.000000,    0.027143, 67026542592.000000
A1AT5_MOUSE,    0.828097,  0.443638,  1.212555, 3,   6.000000,    0.192229, 3778654720.000000
A1CF_MOUSE,    0.273967,  0.205705,  0.342230, 4,   8.000000,    0.034131, 20010883072.000000
AAAD_MOUSE,    0.312698,  0.214835,  0.410561, 9,  11.000000,    0.048931, 85556404224.000000
AACS_MOUSE,    0.041084,  0.018642,  0.063526, 3,   3.000000,    0.011221, 4316677120.000000
AADAT_MOUSE,    0.072748,  0.050698,  0.094799, 7,  10.000000,    0.011025, 17036533760.000000
AAKG1_MOUSE,    0.223844,  0.102019,  0.345670, 2,   2.000000,    0.060913, 293516128.000000
AASS_MOUSE,    0.123425,  0.101985,  0.144865, 24,  41.000000,    0.010720, 283553464320.000000
AATC_MOUSE,    0.143808,  0.119069,  0.168548, 19,  28.000000,    0.012370, 137337651200.000000
AATM_MOUSE,    0.109864,  0.092775,  0.126953, 41,  48.000000,    0.008545, 895084593152.000000
ABCA6_MOUSE,    0.313596,  0.142790,  0.484401, 2,   2.000000,    0.085403, 1075497216.000000
ABCB6_MOUSE,    0.048099,  0.000000,  2.963947, 1,   1.000000,    0.013287, 56822992.000000
ABCB7_MOUSE,    0.215467,  0.151462,  0.279472, 3,   7.000000,    0.032003, 6741969408.000000
ABCBA_MOUSE,    0.122552,  0.099113,  0.145992, 2,   2.000000,    0.011720, 7223376896.000000
ABCBB_MOUSE,    0.321074,  0.250016,  0.392133, 7,  14.000000,    0.035529, 28734138368.000000
ABCD3_MOUSE,    0.254384,  0.205333,  0.303434, 12,  17.000000,    0.024525, 84643520512.000000
ABCE1_MOUSE,    0.125780,  0.067967,  0.183594, 1,   4.000000,    0.026267, 5565681152.000000
ABCG2_MOUSE,    0.347619,  0.184725,  0.510514, 3,   3.000000,    0.081447, 2245084672.000000
ABHDB_MOUSE,    0.124634,  0.095702,  0.153565, 4,   6.000000,    0.014466, 8158581760.000000
ABHEB_MOUSE,    0.173081,  0.145217,  0.200946, 10,  11.000000,    0.013932, 128334405632.000000
ABRAL_MOUSE,    0.125516,  0.073031,  0.178002, 2,   2.000000,    0.026243, 862804672.000000
ACACA_MOUSE,    0.224959,  0.160774,  0.289144, 12,  27.000000,    0.032093, 25423974400.000000
ACACB_MOUSE,    0.015117,  0.000000,  4.364367, 1,   7.000000,    0.009679, 2491817216.000000
ACAD8_MOUSE,    0.093888,  0.077350,  0.110425, 6,  13.000000,    0.008269, 19411570688.000000
ACAD9_MOUSE,    0.069411,  0.034859,  0.103964, 1,   8.000000,    0.015274, 9105093632.000000
ACADL_MOUSE,    0.117515,  0.103605,  0.131426, 20,  24.000000,    0.006955, 163531227136.000000
ACADM_MOUSE,    0.182882,  0.156944,  0.208820, 15,  19.000000,    0.012969, 231327105024.000000
ACADS_MOUSE,    0.123127,  0.105630,  0.140624, 22,  29.000000,    0.008749, 178762137600.000000
ACADV_MOUSE,    0.247894,  0.197457,  0.298330, 23,  35.000000,    0.025218, 86552190976.000000
ACBD5_MOUSE,    0.389310,  0.279758,  0.498862, 5,   9.000000,    0.054776, 14751540224.000000
ACBP_MOUSE,    0.132273,  0.111951,  0.152595, 7,   7.000000,    0.010161, 457709027328.000000
ACD10_MOUSE,    0.113886,  0.091447,  0.136324, 5,  16.000000,    0.011219, 22135566336.000000
ACD11_MOUSE,    0.554013,  0.400181,  0.707844, 9,  16.000000,    0.076916, 33509386240.000000
ACDSB_MOUSE,    0.277552,  0.239860,  0.315244, 6,  10.000000,    0.018846, 18300391424.000000
ACLY_MOUSE,    0.263600,  0.206656,  0.320544, 31,  45.000000,    0.028472, 206819868672.000000
ACO12_MOUSE,    0.308002,  0.215850,  0.400154, 4,   9.000000,    0.046076, 10514696192.000000
ACO13_MOUSE,    0.120490,  0.102972,  0.138007, 4,   6.000000,    0.008759, 30691635200.000000
ACOC_MOUSE,    0.169495,  0.136013,  0.202976, 35,  45.000000,    0.016741, 161887584256.000000
ACON_MOUSE,    0.106747,  0.089858,  0.123636, 28,  36.000000,    0.008444, 187370029056.000000
ACOT1_MOUSE,    0.129115,  0.101553,  0.156677, 4,  12.000000,    0.013781, 32519018496.000000
ACOT2_MOUSE,    0.094532,  0.075939,  0.113126, 3,   3.000000,    0.009297, 1356783488.000000
ACOT3_MOUSE,    0.000002,  0.000000,  4.549878, 1,   1.000000,    0.005147, 2673596160.000000
ACOT4_MOUSE,    0.279020,  0.230273,  0.327767, 4,   5.000000,    0.024373, 4403166720.000000
ACOX1_MOUSE,    0.752532,  0.569622,  0.935443, 41,  46.000000,    0.091455, 373810823168.000000
ACOX2_MOUSE,    0.310896,  0.244658,  0.377133, 10,  15.000000,    0.033119, 33429002240.000000
ACPM_MOUSE,    0.134231,  0.118999,  0.149464, 1,   4.000000,    0.006921, 24317685760.000000
ACSA_MOUSE,    0.157406,  0.099865,  0.214946, 4,   9.000000,    0.028770, 17938923520.000000
ACSF2_MOUSE,    0.150628,  0.129694,  0.171563, 22,  27.000000,    0.010467, 197573345280.000000
ACSF3_MOUSE,    0.121321,  0.052291,  0.190352, 1,   1.000000,    0.029193, 310113440.000000
ACSL1_MOUSE,    0.238466,  0.195214,  0.281719, 37,  44.000000,    0.021626, 329778823168.000000
ACSL5_MOUSE,    0.266322,  0.202473,  0.330172, 14,  22.000000,    0.031925, 83249594368.000000
ACSM1_MOUSE,    0.118563,  0.099492,  0.137634, 22,  25.000000,    0.009535, 194075000832.000000
ACSM3_MOUSE,    0.129944,  0.099182,  0.160706, 4,   6.000000,    0.015381, 6946956800.000000
ACSM5_MOUSE,    0.120640,  0.095292,  0.145988, 7,  14.000000,    0.012674, 26869833728.000000
ACSS3_MOUSE,    0.127975,  0.085620,  0.170329, 3,   3.000000,    0.021177, 3609724160.000000
