Proteins, RateConstant,CI lower bound,CI upper bound, Number of peptides,Number of peptides identified in MS2, SD, Abundance
AASS_MOUSE,    0.096397,  0.060056,  0.132739, 4,   7.000000,    0.018171, 170091360.000000
AATM_MOUSE,    0.029883,  0.018416,  0.041350, 3,   3.000000,    0.005733, 42964988.000000
ABCB7_MOUSE,    5.346330,  4.164722,  6.527938, 1,   1.000000,  1321810.000000, 14556037.000000
ABCBB_MOUSE,    0.332216,  0.265858,  0.398575, 49,  56.000000,    0.033179, 13854074880.000000
ABCD3_MOUSE,    0.263297,  0.202129,  0.324465, 8,  11.000000,    0.030584, 655878784.000000
ABCG2_MOUSE,    0.440133,  0.193767,  0.686499, 3,   3.000000,    0.123183, 48513700.000000
ACADV_MOUSE,    0.146290,  0.083254,  0.209327, 5,   7.000000,    0.031518, 161318768.000000
ACLY_MOUSE,    0.116329,  0.075142,  0.157517, 4,  12.000000,    0.020594, 416269056.000000
ACOHC_MOUSE,    0.067433,  0.037383,  0.097483, 3,   3.000000,    0.015025, 44041704.000000
ACON_MOUSE,    0.081569,  0.050310,  0.112827, 4,   6.000000,    0.015629, 157938672.000000
ACOX1_MOUSE,    0.126442,  0.030425,  0.222459, 3,   5.000000,    0.048008, 111711608.000000
ACSF2_MOUSE,    0.091159,  0.074380,  0.107938, 4,   6.000000,    0.008389, 197504976.000000
ACSL1_MOUSE,    0.194346,  0.160260,  0.228432, 14,  20.000000,    0.017043, 827003136.000000
ACSL5_MOUSE,    0.200551,  0.121482,  0.279620, 4,   5.000000,    0.039535, 109958256.000000
ACSL6_MOUSE,    0.138014,  0.051882,  0.224146, 1,   1.000000,    0.027065, 66877976.000000
ACTB_MOUSE,    0.063860,  0.031869,  0.095850, 4,   8.000000,    0.015995, 275822912.000000
ACTN1_MOUSE,    0.071718,  0.047162,  0.096273, 1,   1.000000,    0.007716, 5877550.500000
ACTN4_MOUSE,    0.091465,  0.000000,  4.621489, 1,   1.000000,    0.032393, 5861116.500000
ADH1_MOUSE,    0.126520,  0.093900,  0.159140, 9,  12.000000,    0.016310, 3591958272.000000
ADT2_MOUSE,    0.104038,  0.086081,  0.121994, 6,  10.000000,    0.008978, 881817344.000000
AIFM1_MOUSE,    5.329553,  3.991967,  6.667138, 1,   1.000000,  1750364.250000, 52910360.000000
AL1A1_MOUSE,    0.242611,  0.176661,  0.308562, 4,   7.000000,    0.032975, 261566576.000000
AL1B1_MOUSE,    0.060399,  0.025580,  0.095217, 1,   1.000000,    0.013545, 9914691.000000
AL1L1_MOUSE,    0.149727,  0.113857,  0.185597, 19,  28.000000,    0.017935, 2089051264.000000
AL3A2_MOUSE,    0.032739,  0.001139,  0.064340, 1,   1.000000,    0.009930, 6564199.500000
AL4A1_MOUSE,    0.113623,  0.093921,  0.133324, 2,   2.000000,    0.009851, 86096128.000000
ALBU_MOUSE,    0.109050,  0.057888,  0.160211, 6,  15.000000,    0.025581, 897878080.000000
